"カテゴリ","ID","名称","レベル","説明","CD(秒)","威力","数","弾速","貫通","落雷数","範囲","半径","回転速度","間隔(秒)","燃焼DPS","持続(秒)","吸引力"
"武器","wisp","スピリットウィスプ","3","敵を追尾する精霊の炎","1.7","20","2","","4","","","","","","","",""
"武器","wisp","スピリットウィスプ","4","敵を追尾する精霊の炎","1.5","25","3","","5","","","","","","","",""
"武器","wisp","スピリットウィスプ","5","敵を追尾する精霊の炎","1.2","32","4","","6","","","","","","","",""
"武器","fire","ファイアー","1","貫通する火炎弾。命中した敵を燃焼させる","1.8","8","1","","","","","","","","4","",""
"武器","fire","ファイアー","2","貫通する火炎弾。命中した敵を燃焼させる","1.7","10","1","","","","","","","","6","",""
"武器","fire","ファイアー","3","貫通する火炎弾。命中した敵を燃焼させる","1.6","14","2","","","","","","","","8","",""
"武器","fire","ファイアー","4","貫通する火炎弾。命中した敵を燃焼させる","1.4","18","2","","","","","","","","11","",""
"武器","fire","ファイアー","5","貫通する火炎弾。命中した敵を燃焼させる","1.2","24","3","","","","","","","","15","",""
"武器","blizzard","ブリザード","1","吹雪で敵を切り刻み凍傷を付与する。凍傷はダメージ毎に1スタック(5秒/最大10)、スタック毎に移動速度-4%・攻撃力-2%","4.5","5","","","","","","70","","","","2.5",""
"武器","blizzard","ブリザード","2","吹雪で敵を切り刻み凍傷を付与する。凍傷はダメージ毎に1スタック(5秒/最大10)、スタック毎に移動速度-4%・攻撃力-2%","4.2","7","","","","","","80","","","","3",""
"武器","blizzard","ブリザード","3","吹雪で敵を切り刻み凍傷を付与する。凍傷はダメージ毎に1スタック(5秒/最大10)、スタック毎に移動速度-4%・攻撃力-2%","3.8","9","","","","","","90","","","","3",""
"武器","blizzard","ブリザード","4","吹雪で敵を切り刻み凍傷を付与する。凍傷はダメージ毎に1スタック(5秒/最大10)、スタック毎に移動速度-4%・攻撃力-2%","3.4","12","","","","","","105","","","","3.2",""
"武器","blizzard","ブリザード","5","吹雪で敵を切り刻み凍傷を付与する。凍傷はダメージ毎に1スタック(5秒/最大10)、スタック毎に移動速度-4%・攻撃力-2%","3","16","","","","","","120","","","","3.5",""
"武器","bhole","ブラックホール","1","重力弾の着弾点に特異点を生成。敵を吸引し0.1秒毎にダメージ","6","5","","","","","","90","","","","0.5","240"
"武器","bhole","ブラックホール","2","重力弾の着弾点に特異点を生成。敵を吸引し0.1秒毎にダメージ","5.6","6","","","","","","100","","","","0.6","260"
"武器","bhole","ブラックホール","3","重力弾の着弾点に特異点を生成。敵を吸引し0.1秒毎にダメージ","5.2","8","","","","","","110","","","","0.7","280"
"武器","bhole","ブラックホール","4","重力弾の着弾点に特異点を生成。敵を吸引し0.1秒毎にダメージ","4.8","10","","","","","","120","","","","0.8","300"
"武器","bhole","ブラックホール","5","重力弾の着弾点に特異点を生成。敵を吸引し0.1秒毎にダメージ","4.2","13","","","","","","130","","","","1","330"
"武器","katana","刀","1","最も近い敵へ素早い斬撃を放つ","1","16","1","","","","105","","","","","",""
"武器","katana","刀","2","最も近い敵へ素早い斬撃を放つ","0.9","22","1","","","","113","","","","","",""
"武器","katana","刀","3","最も近い敵へ素早い斬撃を放つ","0.85","26","2","","","","122","","","","","",""
"武器","katana","刀","4","最も近い敵へ素早い斬撃を放つ","0.8","32","2","","","","132","","","","","",""
"武器","katana","刀","5","最も近い敵へ素早い斬撃を放つ","0.7","40","3","","","","146","","","","","",""
"パッシブ","boots","ラピッドブーツ","1","移動速度 +10%","","","","","","","","","","","","",""
"パッシブ","boots","ラピッドブーツ","2","移動速度 +20%","","","","","","","","","","","","",""
"パッシブ","boots","ラピッドブーツ","3","移動速度 +30%","","","","","","","","","","","","",""
"パッシブ","boots","ラピッドブーツ","4","移動速度 +40%","","","","","","","","","","","","",""
"パッシブ","boots","ラピッドブーツ","5","移動速度 +50%","","","","","","","","","","","","",""
"パッシブ","power","パワークリスタル","1","攻撃力 +12%","","","","","","","","","","","","",""
"パッシブ","power","パワークリスタル","2","攻撃力 +24%","","","","","","","","","","","","",""
"パッシブ","power","パワークリスタル","3","攻撃力 +36%","","","","","","","","","","","","",""
"パッシブ","power","パワークリスタル","4","攻撃力 +48%","","","","","","","","","","","","",""
"パッシブ","power","パワークリスタル","5","攻撃力 +60%","","","","","","","","","","","","",""
"パッシブ","heart","いのちの器","1","最大HP +20(取得時HP20回復)","","","","","","","","","","","","",""
"パッシブ","heart","いのちの器","2","最大HP +40(取得時HP20回復)","","","","","","","","","","","","",""
"パッシブ","heart","いのちの器","3","最大HP +60(取得時HP20回復)","","","","","","","","","","","","",""
"パッシブ","heart","いのちの器","4","最大HP +80(取得時HP20回復)","","","","","","","","","","","","",""
"パッシブ","heart","いのちの器","5","最大HP +100(取得時HP20回復)","","","","","","","","","","","","",""
"パッシブ","magnet","マグネット","1","ジェム吸引範囲 +40%","","","","","","","","","","","","",""
"パッシブ","magnet","マグネット","2","ジェム吸引範囲 +80%","","","","","","","","","","","","",""
"パッシブ","magnet","マグネット","3","ジェム吸引範囲 +120%","","","","","","","","","","","","",""
"パッシブ","magnet","マグネット","4","ジェム吸引範囲 +160%","","","","","","","","","","","","",""
"パッシブ","magnet","マグネット","5","ジェム吸引範囲 +200%","","","","","","","","","","","","",""
"パッシブ","tome","古の魔導書","1","クールダウン -7.0%","","","","","","","","","","","","",""
"パッシブ","tome","古の魔導書","2","クールダウン -13.5%","","","","","","","","","","","","",""
"パッシブ","tome","古の魔導書","3","クールダウン -19.6%","","","","","","","","","","","","",""
"パッシブ","tome","古の魔導書","4","クールダウン -25.2%","","","","","","","","","","","","",""
"パッシブ","tome","古の魔導書","5","クールダウン -30.4%","","","","","","","","","","","","",""
"パッシブ","lens","幸運のクローバー","1","クリティカル率 12%(基礎5%込み)","","","","","","","","","","","","",""
"パッシブ","lens","幸運のクローバー","2","クリティカル率 19%(基礎5%込み)","","","","","","","","","","","","",""
"パッシブ","lens","幸運のクローバー","3","クリティカル率 26%(基礎5%込み)","","","","","","","","","","","","",""
"パッシブ","lens","幸運のクローバー","4","クリティカル率 33%(基礎5%込み)","","","","","","","","","","","","",""
"パッシブ","lens","幸運のクローバー","5","クリティカル率 40%(基礎5%込み)","","","","","","","","","","","","",""
"パッシブ","area","拡がりの宝珠","1","攻撃範囲 +12%","","","","","","","","","","","","",""
"パッシブ","area","拡がりの宝珠","2","攻撃範囲 +24%","","","","","","","","","","","","",""
"パッシブ","area","拡がりの宝珠","3","攻撃範囲 +36%","","","","","","","","","","","","",""
"パッシブ","area","拡がりの宝珠","4","攻撃範囲 +48%","","","","","","","","","","","","",""
"パッシブ","area","拡がりの宝珠","5","攻撃範囲 +60%","","","","","","","","","","","","",""
"パッシブ","regen","再生の指輪","1","毎秒HP 0.6 自動回復","","","","","","","","","","","","",""
"パッシブ","regen","再生の指輪","2","毎秒HP 1.2 自動回復","","","","","","","","","","","","",""
"パッシブ","regen","再生の指輪","3","毎秒HP 1.8 自動回復","","","","","","","","","","","","",""
"パッシブ","regen","再生の指輪","4","毎秒HP 2.4 自動回復","","","","","","","","","","","","",""
"パッシブ","regen","再生の指輪","5","毎秒HP 3.0 自動回復","","","","","","","","","","","","",""
"パッシブ","range","ロングスコープ","1","弾の射程 +10%","","","","","","","","","","","","",""
"パッシブ","range","ロングスコープ","2","弾の射程 +20%","","","","","","","","","","","","",""
"パッシブ","range","ロングスコープ","3","弾の射程 +30%","","","","","","","","","","","","",""
"パッシブ","range","ロングスコープ","4","弾の射程 +40%","","","","","","","","","","","","",""
"パッシブ","range","ロングスコープ","5","弾の射程 +50%","","","","","","","","","","","","",""
"パッシブ","size","ジャイアントリング","1","弾のサイズ +20%(ボルト/ブレード/アックス/ウィスプ/ファイアー)","","","","","","","","","","","","",""
"パッシブ","size","ジャイアントリング","2","弾のサイズ +40%(ボルト/ブレード/アックス/ウィスプ/ファイアー)","","","","","","","","","","","","",""
"パッシブ","size","ジャイアントリング","3","弾のサイズ +60%(ボルト/ブレード/アックス/ウィスプ/ファイアー)","","","","","","","","","","","","",""
"パッシブ","size","ジャイアントリング","4","弾のサイズ +80%(ボルト/ブレード/アックス/ウィスプ/ファイアー)","","","","","","","","","","","","",""
"パッシブ","size","ジャイアントリング","5","弾のサイズ +100%(ボルト/ブレード/アックス/ウィスプ/ファイアー)","","","","","","","","","","","","",""
"ドロップ","gemS","ジェム(小)","","経験値1〜2。ザコ敵がドロップ","","","","","","","","","","","","",""
"ドロップ","gemM","ジェム(中)","","経験値3〜14。ゴースト・インプ・ブルートなどがドロップ","","","","","","","","","","","","",""
"ドロップ","gemL","ジェム(大)","","経験値15以上。エリート(25)・ボス撃破時(20×14個)","","","","","","","","","","","","",""
"ドロップ","heart","ハート","","HP30回復。通常敵1.2%・ボス撃破時確定ドロップ","","","","","","","","","","","","",""
"ドロップ","magnet","マグネット","","画面内の全ジェムを吸引。通常敵0.4%・ボス撃破時確定ドロップ","","","","","","","","","","","","",""
"ドロップ","chest","宝箱","","所持武器をランダムに1レベル強化(全武器Lv5ならHP50回復)。エリート撃破で確定ドロップ","","","","","","","","","","","","",""
"アーティファクト","wslot","拡張ホルスター","","武器の装備枠が 1 つ増える(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","pslot","秘伝の腰袋","","パッシブの装備枠が 1 つ増える(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","chain","連鎖の雷核","","サンダーの落雷ダメージ -20%・攻撃範囲 -20%。落雷が近くの敵へ次々に連鎖する(連鎖数 = 落雷数)(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","frenzy","狂戦士の血晶","","パワークリスタルの効力が現在HPに比例して変化する(HP満タンで150%・瀕死で0%)(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","clock","狂気の懐中時計","","古の魔導書とラピッドブーツの効力 +30%。しかし敵の出現率と移動速度 +15%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","fireburst","爆裂の火薬庫","","ファイアーが着弾時に爆発し範囲ダメージ(威力60%)を与える。射程 -25%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","bleed","渇血の棘","","刀・オービットブレード・スローイングアックスが出血(5秒)を付与。出血スタック 1 につき受けるダメージ +5%(最大スタックは対象武器の所持数に応じて 6/9/12)(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","holyleech","聖杯の加護","","ホーリーオーラがダメージを与えるたびHPを 1% 回復する(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","wisphunter","狩猟の精霊石","","スピリットウィスプが同じ敵に再度ヒットするようになる(当たり判定を抜けるとリセット)。ダメージ -15%・射程 -15%・追尾能力 -15%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","blizzwalk","吹雪の羅針盤","","ブリザードがプレイヤーへ徐々に移動するようになる。凍傷の最大スタック +5・凍傷スタック毎に被ダメージ +1%。範囲 -15%・持続 -15%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","mirror","双面の魔鏡","","マジックボルトが反対方向にも同時発射される。ダメージ -25%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","critdmg","処刑人の刻印","","クリティカルダメージ +25%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","pact","悪魔の契約書","","獲得経験値 +50%。しかし敵のステータス(HP・速度・攻撃力) +15%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","horizon","事象の地平線","","ブラックホールの CD +15%・ダメージ -55%・持続時間 +100%。吸引した敵 1 体につき範囲 +5%(最大 +100%)。範囲内の敵の攻撃力 -50%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","amp","増幅の魔石","","マグネット・拡がりの宝珠・ロングスコープ・ジャイアントリングの効力 +50%。パワークリスタル・幸運のクローバーの効力 -15%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","dice","賭博師のダイス","","幸運のクローバーの効力 -25%。敵撃破コンボ 1 につき効力 +1%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
"アーティファクト","aegis","不動の重鎧","","移動速度 -40%。いのちの器と再生の指輪の効力 +100%(ボス撃破ドロップの宝珠で未所持3択+スキップから選択)","","","","","","","","","","","","",""
